Replicate,TFIDF_Hit1Macro,TFIDF_MRRMacro,MPNET_Hit1Macro,MPNET_MRRMacro
239,0.11672418694337995,0.22254341607900785,0.11291069858919323,0.24081987935575996
240,0.0621673640537526,0.1605181562151397,0.051070690500660786,0.1678851381995447
241,0.11249934215519178,0.2380136734939052,0.10665086433165749,0.24623717986642765
242,0.023476926910962266,0.1316249031454798,0.00995303657844358,0.13165387167452736
243,0.01915040103110671,0.16766174316997962,0.009411614060397333,0.1642597035001284
244,0.011403478415009608,0.16705708992767113,0.0092062622382459,0.2039148288750943
245,0.007568684905514179,0.17162835361017112,0.004087242628356348,0.1602159615217856
246,0.06724387000148324,0.18616226216612364,0.05927198185625639,0.18811569575255274
247,0.04898467737786859,0.1973409396023926,0.02718794091552593,0.19708893856623946
248,0.03285316117866291,0.14245250837180792,0.005874534276622294,0.154999787002019
249,0.05597388847902989,0.16890460675520044,0.0506170994058987,0.16991381391904145
250,0.02845170336102611,0.18115044131032812,0.0048150977606210635,0.14593639964417307
251,0.06502298478123375,0.17767707016462123,0.0561350715864658,0.18606650341820605
252,0.13195280098999057,0.282009195936092,0.10085243127701018,0.2663647120704192
253,0.012266211521781976,0.16573928000295435,0.04317503343782041,0.1720776752144437
254,0.0069084852671073855,0.13229427979442487,0.0014099750787811643,0.11642549063014046
255,0.011139687363319595,0.13129151225114488,0.014034997407334453,0.14885591942613402
256,0.03541232152586783,0.19465665889320866,0.013529232972755824,0.17327025783537064
257,0.030219793204278863,0.17384120438824816,0.023386192587120182,0.1967381231118252
258,0.026055172297828305,0.17934120356455052,0.016252675637226165,0.15544351087522926
259,0.05789287870251156,0.17261527319345693,0.04644475752734653,0.14573047506357445
260,0.028208323603716612,0.15082198708794556,0.0034027033236406963,0.1252689294828282
261,0.09001111622813954,0.18580213829593967,0.06504508389187313,0.18867455002191694
262,0.020357533903098943,0.1823288289963698,0.02992127943730839,0.18675980660816127
263,0.044555999548310965,0.1834832029681867,0.032128123519039084,0.18769845164836108
264,0.02195716116492552,0.1608771695444367,0.017428428974239137,0.13937121265035038
265,0.007551629041816106,0.11298150896456445,0.006799484096292428,0.10966423681332778
266,0.09601628624219491,0.21221954147677022,0.09215587920746812,0.23699591344665213
267,0.04456508046526335,0.1972736950121782,0.010510279874336297,0.16147232875246115
268,0.01130881710255409,0.14399887330976302,0.010960946064661813,0.13857480645698378
269,0.0840009234700469,0.19103309100262097,0.08374703866919661,0.1790515101988871
270,0.08049386250919284,0.19140124207574227,0.074128529558197,0.19626258964652474
271,0.09996993347036301,0.22959721534353028,0.046834569269985186,0.18198974929881898
272,0.013364988942781613,0.1942808340195749,0.057534025230997585,0.24806966090319577
273,0.044536666412005495,0.14139905805562772,0.04959685529872795,0.15709567343812889
274,0.02896958170843702,0.18002203728982077,0.030194164089789807,0.19696711030212202
275,0.0941045630086208,0.20408453137960594,0.06446982573256513,0.17897451523396263
276,0.1450178125408692,0.2533788833296834,0.1445095890848636,0.2789856749142257
277,0.05672859312423788,0.17884202739630584,0.05048050743290431,0.17552642651794312
278,0.020035958356993056,0.13981778115941984,0.008510458603067506,0.12657449371088805
